R3---epoch:0 error:436.9403645177423 min_mae:436.9403645177423 min_epoch:0
R3---epoch:1 error:368.0164664587477 min_mae:368.0164664587477 min_epoch:1
R3---epoch:2 error:460.6044123984955 min_mae:368.0164664587477 min_epoch:1
R3---epoch:3 error:430.62460237184723 min_mae:368.0164664587477 min_epoch:1
R3---epoch:4 error:990.3632514031378 min_mae:368.0164664587477 min_epoch:1
R3---epoch:5 error:541.5056320983957 min_mae:368.0164664587477 min_epoch:1
R3---epoch:6 error:365.54982654201785 min_mae:365.54982654201785 min_epoch:6
R3---epoch:7 error:536.5710817693354 min_mae:365.54982654201785 min_epoch:6
R3---epoch:8 error:898.2369870176682 min_mae:365.54982654201785 min_epoch:6
R3---epoch:9 error:390.16904859162946 min_mae:365.54982654201785 min_epoch:6
R3---epoch:10 error:363.8049523293317 min_mae:363.8049523293317 min_epoch:10
R3---epoch:11 error:447.767300418445 min_mae:363.8049523293317 min_epoch:10
R3---epoch:12 error:346.99455028674106 min_mae:346.99455028674106 min_epoch:12
R3---epoch:13 error:882.3066522786905 min_mae:346.99455028674106 min_epoch:12
R3---epoch:14 error:451.63548546963995 min_mae:346.99455028674106 min_epoch:12
R3---epoch:15 error:527.1087017164126 min_mae:346.99455028674106 min_epoch:12
R3---epoch:16 error:476.2791649358204 min_mae:346.99455028674106 min_epoch:12
R3---epoch:17 error:473.81525000414024 min_mae:346.99455028674106 min_epoch:12
R3---epoch:18 error:394.0094253257081 min_mae:346.99455028674106 min_epoch:12
R3---epoch:19 error:354.6974302706319 min_mae:346.99455028674106 min_epoch:12
R3---epoch:20 error:487.04361016933734 min_mae:346.99455028674106 min_epoch:12
R3---epoch:21 error:353.3327089581679 min_mae:346.99455028674106 min_epoch:12
R3---epoch:22 error:374.31896183385953 min_mae:346.99455028674106 min_epoch:12
R3---epoch:23 error:633.4734909927452 min_mae:346.99455028674106 min_epoch:12
R3---epoch:24 error:409.39142974588896 min_mae:346.99455028674106 min_epoch:12
R3---epoch:25 error:804.3882147348844 min_mae:346.99455028674106 min_epoch:12
R3---epoch:26 error:366.54233171160405 min_mae:346.99455028674106 min_epoch:12
R3---epoch:27 error:351.34401247527575 min_mae:346.99455028674106 min_epoch:12
R3---epoch:28 error:922.0344103561653 min_mae:346.99455028674106 min_epoch:12
R3---epoch:29 error:348.35651461387073 min_mae:346.99455028674106 min_epoch:12
R3---epoch:30 error:528.27351804487 min_mae:346.99455028674106 min_epoch:12
R3---epoch:31 error:455.11577676662375 min_mae:346.99455028674106 min_epoch:12
R3---epoch:32 error:483.6115930918809 min_mae:346.99455028674106 min_epoch:12
R3---epoch:33 error:347.3193866486078 min_mae:346.99455028674106 min_epoch:12
R3---epoch:34 error:335.30982877068465 min_mae:335.30982877068465 min_epoch:34
R3---epoch:35 error:518.4657620989032 min_mae:335.30982877068465 min_epoch:34
R3---epoch:36 error:406.957388632982 min_mae:335.30982877068465 min_epoch:34
R3---epoch:37 error:372.83312847833713 min_mae:335.30982877068465 min_epoch:34
R3---epoch:38 error:342.7450635487234 min_mae:335.30982877068465 min_epoch:34
R3---epoch:39 error:374.8468635566942 min_mae:335.30982877068465 min_epoch:34
R3---epoch:40 error:503.6100972233402 min_mae:335.30982877068465 min_epoch:34
R3---epoch:41 error:331.19201855967333 min_mae:331.19201855967333 min_epoch:41
R3---epoch:42 error:348.22036479904756 min_mae:331.19201855967333 min_epoch:41
R3---epoch:43 error:369.4233626274617 min_mae:331.19201855967333 min_epoch:41
R3---epoch:44 error:344.4949216086131 min_mae:331.19201855967333 min_epoch:41
